key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
com.spartez.jira.plugins.commenttemplates,Canned Responses Pro Templates for Jira,Appfire,Admin tools;Custom fields;IT & helpdesk;Testing & QA,2007,108,4.7,oui,atlassian,2026-09-03
com.intenso.jira.plugin.dynamic-forms,Dynamic Forms for Jira,Deviniti,Themes & styles;Custom fields;Tasks;Utilities,2524,58,4.44,oui,atlassian,2026-09-14
org.swift.confluence.table,Advanced Tables for Confluence,Appfire,Charts & diagramming;Documentation;Macros;Design tools,3812,57,3.77,oui,atlassian,2026-08-31
com.awnaba.projectconfigurator.projectconfigurator,Project Configurator for Jira,Appfire,,1820,115,4.76,non,atlassian,2026-09-03
com.devsamurai.plugin.jira.story-mapping,"Agile User Story Map, Portfolio Roadmaps & Persona for Jira",DevSamurai,Workflow;Charts & diagramming;Reports;Project management,2031,143,4.56,oui,atlassian,2026-09-23
com.xblend.plugins.xray-enterprise,Xray Enterprise - Test Management for Jira,Xblend,Testing & QA,1187,13,4.33,oui,atlassian,2026-09-15
cloud-files-google-drive-docs-office-365-documents-dropbox-topdox-for-confluence,ikuTeam Files: Document Management Workflows,ikuTeam (File Automation & Workflows),Document management;Documentation;Integrations;Macros,1850,152,4.63,oui,atlassian,2026-09-10
com.stiltsoft.confluence.handy.macros,"Handy Macros for Confluence (Status, Dropdown & Formatting)",Stiltsoft Europe OÜ,Themes & styles;Document management;Utilities;Project management,1963,49,4.72,oui,atlassian,2026-09-22
com.spartez.jira.plugins.jiraplanningpoker,Agile Poker for Jira - Planning & Estimation,Appfire,Time tracking;Tasks;Utilities;Project management,1853,110,4.65,oui,atlassian,2026-08-05
com.bilith.lref.confluence-gdrive,Google Drive & Docs for Confluence,Bilith (Google Workspace apps),Document management;Documentation;Integrations;Macros,2879,53,4.1,oui,atlassian,2026-03-31
com.projectbalm.riskregister.riskregister-jira,Risk Register,ProjectBalm,Custom fields;Dashboard gadgets;Project management,2224,48,4.51,oui,atlassian,2026-05-12
softwareplant.bigpictureenterprise,BigPicture Enterprise - Strategic Management for Jira,Appfire,Charts & diagramming;Reports;Tasks;Project management,2449,63,4.2,oui,atlassian,2026-09-10
com.resolution.atlasplugins.samlsso.Jira,SAML SSO Single Sign On for Jira SSO OAuth + User Sync,resolution Reichert Network Solutions GmbH,Admin tools;Integrations;Utilities;Security,1311,109,4.97,non,atlassian,2026-08-27
com.appliger.jira.templates,Easy Issue Templates for Jira,AppLiger,Workflow;Tasks;IT & helpdesk;Project management,2045,81,4.4,oui,atlassian,2026-02-19
com.easesolutions.jira.plugins.requirements,easeRequirements - Requirements Management for Jira (R4J),Ease Solutions Consulting GmbH,Reports;Documentation;Project management;Testing & QA,1960,62,4.48,oui,atlassian,2026-09-11
com.devsamurai.plugin.jira.asset,"IT Assets, License - Asset Management for Jira, JSM, ITSM",DevSamurai,Admin tools;Custom fields;Dashboard gadgets;IT & helpdesk,1600,71,4.72,oui,atlassian,2026-08-14
com.spartez.jira.plugins.bork.tfs4jira,TFS4JIRA Azure DevOps integration,Appfire,Admin tools;Shared workflows;Integrations;Continuous integration,1567,230,4.61,oui,atlassian,2026-07-16
com.cps.lastLog,Last Log for Jira,Decadis AG,Admin tools;Reports;Utilities;Monitoring,1473,33,4.96,non,atlassian,2026-05-12
org.everit.jira.timetracker.plugin,Timetracker - Time Tracking & Timesheet Reporting for Jira,STAGIL by catworkx,Time tracking;Reports;Project management,2245,110,4.12,oui,atlassian,2026-02-19
net.brokenbuild.velocity-chart,"Agile velocity chart gadget: 10 sprint metrics, KPI reports",Broken Build,Dashboard gadgets;Charts & diagramming;Reports;Project management,2225,28,4.46,oui,atlassian,2026-08-27
com.javahollic.jira.jemh-ui,Enterprise Mail Handler for Jira Cloud (JEMHC) and DC,The Plugin People,Custom fields;Email;Messaging;IT & helpdesk,1692,90,4.56,oui,atlassian,2026-09-18
com.deviniti.atlassian.apps.rtm,Requirements & Test Management for Jira,Deviniti,Project management;Testing & QA,2001,66,4.36,oui,atlassian,2026-08-24
confluence.extra.noemailstorm,No Email Storm,Stiltsoft Europe OÜ,Email;Document management;Messaging,1377,54,4.91,non,atlassian,2025-09-02
org.swift.jira.cli,Jira Command Line Interface (CLI),Appfire,Admin tools;Tasks;Integrations;Utilities,1905,32,4.61,oui,atlassian,2026-05-12
net.customware.confluence.plugin.composition,Composition Tabs for Confluence,Appfire,Themes & styles;Documentation;Macros,1953,77,4.27,oui,atlassian,2026-04-20
com.refinedwiki.confluence.plugins.theme.original,"Refined for Confluence DC (Intranet, Themes & Navigation)",Refined,Themes & styles;Documentation;Macros;Design tools,1440,92,4.69,non,atlassian,2026-09-24
com.devsamurai.plugin.jira.tb-timesheet,"Timesheets, Time Tracking & Capacity Resource Planning",DevSamurai,Workflow;Time tracking;Reports;Project management,1294,116,4.8,oui,atlassian,2026-04-14
google-drive-docs-documents-for-confluence,Google Drive Connector in Confluence,ikuTeam (File Automation & Workflows),Document management;Documentation;Integrations;Macros,1606,51,4.63,oui,atlassian,2026-09-10
com.botronsoft.jira.poweradmin,Power Admin for Jira,Appfire,Admin tools;Utilities,2638,8,4.69,non,atlassian,2026-09-23
com.comalatech.publishing,Comala Publishing,Appfire,Workflow;Document management;Documentation;Utilities,1335,40,4.91,oui,atlassian,2026-09-22
