url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/A7P5RQKJ9-zoho-checkout,Zoho Checkout & Slack Integration | Slack Marketplace,Paid,incoming-webhook,,
https://slack.com/marketplace/A7PB8BRCJ-webgazer,WebGazer & Slack Integration | Slack Marketplace,Included with service subscription,incoming-webhook,,
https://slack.com/marketplace/A7PM5AZ33-leaderboard,Leaderboard & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read chat:write chat:write.public commands im:write,,
https://slack.com/marketplace/A7PPNTE22-screenshots,Screenshots & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/A7PTAKQHW-trotto-go-links,Trotto Go Links & Slack Integration | Slack Marketplace,Free and paid plans available,commands users:read users:read.email,,
https://slack.com/marketplace/A7THV0258-sketchdeck,SketchDeck & Slack Integration | Slack Marketplace,Free,incoming-webhook,,
https://slack.com/marketplace/A7UGYLJGL-testmu-ai,TestMu AI & Slack Integration | Slack Marketplace,Included with service subscription,channels:read chat:write chat:write.public commands incoming-webhook,,
https://slack.com/marketplace/A7UMS3D2S-impower,IMpower & Slack Integration | Slack Marketplace,Paid with free trial,channels:history channels:join channels:manage channels:read chat:write commands files:read files:write groups:history groups:read incoming-webhook team:read users:read users:read.email,,
https://slack.com/marketplace/A7W497ADD-kipwise-wiki,Kipwise Wiki & Slack Integration | Slack Marketplace,Paid with free trial,bot channels:history channels:read channels:write chat:write:bot chat:write:user commands dnd:read emoji:read files:read files:write:user groups:history groups:read identity.avatar identity.basic identity.email identity.team im:history im:read im:write links:read mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A7XUV370S-pagertree,PagerTree & Slack Integration | Slack Marketplace,Free and paid plans available,chat:write commands im:history im:write,,
https://slack.com/marketplace/A7YHPG3GB-spectrum,Spectrum & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public commands files:read groups:read users:read users:read.email,,
https://slack.com/marketplace/A7ZTFUG4U-updraft-app-distribution,Updraft: App Distribution & Slack Integration | Slack Marketplace,Free and paid plans available,incoming-webhook,,
https://slack.com/marketplace/A80FYCSV6-officebot,OfficeBot & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:read chat:write email emoji:read files:write groups:read im:history openid profile team:read users.profile:read users.profile:write users:read users:read.email,,
https://slack.com/marketplace/A812HMTMW-multicointicker,MultiCoinTicker & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write incoming-webhook mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A81FQ3116-1password,1Password & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public groups:read team:read usergroups:read users:read users:read.email,,
https://slack.com/marketplace/A825P7KRU-leadfeeder-by-dealfront,Leadfeeder by Dealfront & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read users:read users:read.email,,
https://slack.com/marketplace/A83GC6RMG-workstars,Workstars & Slack Integration | Slack Marketplace,Paid,email incoming-webhook openid,,
https://slack.com/marketplace/A83H5QZPT-reminder-bot,Reminder Bot & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read identify identity.basic identity.email identity.team im:read mpim:read team:read users:read,identify,
https://slack.com/marketplace/A86JLBP1S-goat,Goat & Slack Integration | Slack Marketplace,,commands links:read links:write team:read,,
https://slack.com/marketplace/A86T4473P-15five,15Five & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public commands groups:read users:read users:read.email,,
https://slack.com/marketplace/A8761N8U9-coreceptionist,CoReceptionist & Slack Integration | Slack Marketplace,,channels:read chat:write:bot users:read users:read.email,,
https://slack.com/marketplace/A8B0T0Z32-solarwinds-incident-response,SolarWinds Incident Response & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:join channels:read channels:write chat:write commands groups:read groups:write im:read im:write mpim:read mpim:write team:read users:read users:read.email,,
https://slack.com/marketplace/A8B6M0E65-talentlyft,TalentLyft & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
